fecha,precio
01/01/2014,393000 
02/01/2014,397875 
03/01/2014,416750 
04/01/2014,416750 
05/01/2014,416750 
06/01/2014,439250 
07/01/2014,422125 
08/01/2014,438125 
09/01/2014,431500 
10/01/2014,434625 
11/01/2014,434625 
12/01/2014,434625 
13/01/2014,432500 
14/01/2014,432375 
15/01/2014,425250 
16/01/2014,431375 
17/01/2014,430250 
18/01/2014,430250 
19/01/2014,430250 
20/01/2014,430250 
21/01/2014,431500 
22/01/2014,426250 
23/01/2014,430000 
24/01/2014,425750 
25/01/2014,425750 
26/01/2014,425750 
27/01/2014,426875 
28/01/2014,428750 
29/01/2014,439875 
30/01/2014,452750 
31/01/2014,487750 
01/02/2014,487750 
02/02/2014,487750 
03/02/2014,541250 
04/02/2014,539125 
05/02/2014,571875 
06/02/2014,539000 
07/02/2014,540500 
08/02/2014,540500 
09/02/2014,540500 
10/02/2014,543125 
11/02/2014,543000 
12/02/2014,566625 
13/02/2014,561250 
14/02/2014,558750 
15/02/2014,558750 
16/02/2014,558750 
17/02/2014,558750 
18/02/2014,614750 
19/02/2014,696250 
20/02/2014,681125 
21/02/2014,681000 
22/02/2014,681000 
23/02/2014,681000 
24/02/2014,709375 
25/02/2014,709625 
26/02/2014,720125 
27/02/2014,725875 
28/02/2014,727375 
01/03/2014,727375 
02/03/2014,727375 
03/03/2014,786125 
04/03/2014,750125 
05/03/2014,817875 
06/03/2014,794125 
07/03/2014,806250 
08/03/2014,806250 
09/03/2014,806250 
10/03/2014,835375 
11/03/2014,846375 
12/03/2014,845625 
13/03/2014,849250 
14/03/2014,814500 
15/03/2014,814500 
16/03/2014,814500 
17/03/2014,781750 
18/03/2014,781375 
19/03/2014,747375 
20/03/2014,694875 
21/03/2014,683500 
22/03/2014,683500 
23/03/2014,683500 
24/03/2014,705000 
25/03/2014,694500 
26/03/2014,694875 
27/03/2014,693500 
28/03/2014,711000 
29/03/2014,711000 
30/03/2014,711000 
31/03/2014,702500 
01/04/2014,689875 
02/04/2014,693625 
03/04/2014,710500 
04/04/2014,750000 
05/04/2014,750000 
06/04/2014,750000 
07/04/2014,776125 
08/04/2014,788125 
09/04/2014,799875 
10/04/2014,819750 
11/04/2014,804750 
12/04/2014,804750 
13/04/2014,804750 
14/04/2014,818250 
15/04/2014,772000 
16/04/2014,745125 
17/04/2014,817000 
18/04/2014,817000 
19/04/2014,817000 
20/04/2014,817000 
21/04/2014,793125 
22/04/2014,856000 
23/04/2014,857125 
24/04/2014,863000 
25/04/2014,834750 
26/04/2014,834750 
27/04/2014,834750 
28/04/2014,809375 
29/04/2014,849625 
30/04/2014,827125 
01/05/2014,820500 
02/05/2014,810875 
03/05/2014,810875 
04/05/2014,810875 
05/05/2014,819375 
06/05/2014,804625 
07/05/2014,796500 
08/05/2014,770750 
09/05/2014,727250 
10/05/2014,727250 
11/05/2014,727250 
12/05/2014,751875 
13/05/2014,746875 
14/05/2014,731250 
15/05/2014,783000 
16/05/2014,731750 
17/05/2014,731750 
18/05/2014,731750 
19/05/2014,723250 
20/05/2014,733000 
21/05/2014,711750 
22/05/2014,709375 
23/05/2014,714000 
24/05/2014,714000 
25/05/2014,714000 
26/05/2014,714000 
27/05/2014,706000 
28/05/2014,690875 
29/05/2014,712500 
30/05/2014,691875 
31/05/2014,691875 
01/06/2014,691875 
02/06/2014,671875 
03/06/2014,666875 
04/06/2014,663375 
05/06/2014,657000 
06/06/2014,665625 
07/06/2014,665625 
08/06/2014,665625 
09/06/2014,640125 
10/06/2014,640250 
11/06/2014,663500 
12/06/2014,653500 
13/06/2014,673875 
14/06/2014,673875 
15/06/2014,673875 
16/06/2014,674500 
17/06/2014,664125 
18/06/2014,647500 
19/06/2014,641500 
20/06/2014,666875 
21/06/2014,666875 
22/06/2014,666875 
23/06/2014,674125 
24/06/2014,672250 
25/06/2014,691375 
26/06/2014,687750 
27/06/2014,654250 
28/06/2014,654250 
29/06/2014,654250 
30/06/2014,664125 
01/07/2014,640875 
02/07/2014,648750 
03/07/2014,638000 
04/07/2014,638000 
05/07/2014,638000 
06/07/2014,638000 
07/07/2014,639750 
08/07/2014,646500 
09/07/2014,648125 
10/07/2014,609250 
11/07/2014,603625 
12/07/2014,603625 
13/07/2014,603625 
14/07/2014,616000 
15/07/2014,609625 
16/07/2014,611250 
17/07/2014,619125 
18/07/2014,649625 
19/07/2014,649625 
20/07/2014,649625 
21/07/2014,647000 
22/07/2014,625625 
23/07/2014,657750 
24/07/2014,664125 
25/07/2014,668375 
26/07/2014,668375 
27/07/2014,668375 
28/07/2014,675875 
29/07/2014,678125 
30/07/2014,693750 
31/07/2014,735750 
01/08/2014,725250 
02/08/2014,725250 
03/08/2014,725250 
04/08/2014,721000 
05/08/2014,721000 
06/08/2014,723625 
07/08/2014,697125 
08/08/2014,678500 
09/08/2014,678500 
10/08/2014,678500 
11/08/2014,707500 
12/08/2014,687625 
13/08/2014,684375 
14/08/2014,680250 
15/08/2014,716750 
16/08/2014,716750 
17/08/2014,716750 
18/08/2014,716375 
19/08/2014,696125 
20/08/2014,713000 
21/08/2014,715875 
22/08/2014,708875 
23/08/2014,708875 
24/08/2014,708875 
25/08/2014,714625 
26/08/2014,748250 
27/08/2014,750000 
28/08/2014,756250 
29/08/2014,754375 
30/08/2014,754375 
31/08/2014,754375 
01/09/2014,754375 
02/09/2014,791750 
03/09/2014,751875 
04/09/2014,757625 
05/09/2014,740000 
06/09/2014,740000 
07/09/2014,740000 
08/09/2014,730250 
09/09/2014,731375 
10/09/2014,687125 
11/09/2014,707125 
12/09/2014,709125 
13/09/2014,709125 
14/09/2014,709125 
15/09/2014,691875 
16/09/2014,699125 
17/09/2014,697750 
18/09/2014,681750 
19/09/2014,668875 
20/09/2014,668875 
21/09/2014,668875 
22/09/2014,684125 
23/09/2014,690125 
24/09/2014,723375 
25/09/2014,698875 
26/09/2014,714500 
27/09/2014,714500 
28/09/2014,714500 
29/09/2014,743625 
30/09/2014,751625 
01/10/2014,781875 
02/10/2014,810000 
03/10/2014,807875 
04/10/2014,807875 
05/10/2014,807875 
06/10/2014,863500 
07/10/2014,844625 
08/10/2014,843375 
09/10/2014,872375 
10/10/2014,868750 
11/10/2014,868750 
12/10/2014,868750 
13/10/2014,858875 
14/10/2014,874875 
15/10/2014,858625 
16/10/2014,863375 
17/10/2014,833750 
18/10/2014,833750 
19/10/2014,833750 
20/10/2014,777500 
21/10/2014,771375 
22/10/2014,744125 
23/10/2014,755125 
24/10/2014,746375 
25/10/2014,746375 
26/10/2014,746375 
27/10/2014,748625 
28/10/2014,749875 
29/10/2014,734750 
30/10/2014,728125 
31/10/2014,732625 
01/11/2014,732625 
02/11/2014,732625 
03/11/2014,723500 
04/11/2014,740500 
05/11/2014,731500 
06/11/2014,729750 
07/11/2014,723875 
08/11/2014,723875 
09/11/2014,723875 
10/11/2014,744625 
11/11/2014,757875 
12/11/2014,763375 
13/11/2014,791750 
14/11/2014,810625 
15/11/2014,810625 
16/11/2014,810625 
17/11/2014,790125 
18/11/2014,791500 
19/11/2014,822625 
20/11/2014,776250 
21/11/2014,780500 
22/11/2014,780500 
23/11/2014,780500 
24/11/2014,785250 
25/11/2014,804500 
26/11/2014,802500 
27/11/2014,802500 
28/11/2014,793000 
29/11/2014,793000 
30/11/2014,793000 
01/12/2014,824500 
02/12/2014,802875 
03/12/2014,800125 
04/12/2014,791750 
05/12/2014,795000 
06/12/2014,795000 
07/12/2014,795000 
08/12/2014,785125 
09/12/2014,807500 
10/12/2014,815625 
11/12/2014,808625 
12/12/2014,795125 
13/12/2014,795125 
14/12/2014,795125 
15/12/2014,826125 
16/12/2014,821875 
17/12/2014,782375 
18/12/2014,765000 
19/12/2014,761250 
20/12/2014,761250 
21/12/2014,761250 
22/12/2014,761625 
23/12/2014,760750 
24/12/2014,761625 
25/12/2014,761625 
26/12/2014,756375 
27/12/2014,756375 
28/12/2014,756375 
29/12/2014,743375 
30/12/2014,740875 
31/12/2014,749500 
01/01/2015,749500 
02/01/2015,723375 
03/01/2015,723375 
04/01/2015,723375 
05/01/2015,775750 
