fecha,precio
02/01/2003,277000 
03/01/2003,280875 
04/01/2003,280875 
05/01/2003,280875 
06/01/2003,281500 
07/01/2003,294875 
08/01/2003,317375 
09/01/2003,319125 
10/01/2003,331375 
11/01/2003,331375 
12/01/2003,331375 
13/01/2003,330875 
14/01/2003,331750 
15/01/2003,337625 
16/01/2003,337500 
17/01/2003,337750 
18/01/2003,337750 
19/01/2003,337750 
20/01/2003,333625 
21/01/2003,336000 
22/01/2003,346625 
23/01/2003,345875 
24/01/2003,344000 
25/01/2003,344000 
26/01/2003,344000 
27/01/2003,334250 
28/01/2003,336125 
29/01/2003,323750 
30/01/2003,319750 
31/01/2003,329500 
01/02/2003,329500 
02/02/2003,329500 
03/02/2003,334125 
04/02/2003,332500 
05/02/2003,326375 
06/02/2003,330000 
07/02/2003,334625 
08/02/2003,334625 
09/02/2003,334625 
10/02/2003,340125 
11/02/2003,336625 
12/02/2003,331500 
13/02/2003,311500 
14/02/2003,317500 
15/02/2003,317500 
16/02/2003,317500 
17/02/2003,315375 
18/02/2003,318750 
19/02/2003,316000 
20/02/2003,318000 
21/02/2003,317875 
22/02/2003,317875 
23/02/2003,317875 
24/02/2003,310875 
25/02/2003,303000 
26/02/2003,299250 
27/02/2003,300375 
28/02/2003,291750 
01/03/2003,291750 
02/03/2003,291750 
03/03/2003,297500 
04/03/2003,293250 
05/03/2003,293250 
06/03/2003,294250 
07/03/2003,300125 
08/03/2003,300125 
09/03/2003,300125 
10/03/2003,304375 
11/03/2003,298875 
12/03/2003,294500 
13/03/2003,294500 
14/03/2003,296750 
15/03/2003,296750 
16/03/2003,296750 
17/03/2003,284000 
18/03/2003,290000 
19/03/2003,305875 
20/03/2003,314125 
21/03/2003,314750 
22/03/2003,314750 
23/03/2003,314750 
24/03/2003,308375 
25/03/2003,300000 
26/03/2003,300000 
27/03/2003,293375 
28/03/2003,300000 
29/03/2003,300000 
30/03/2003,300000 
31/03/2003,302750 
01/04/2003,300500 
02/04/2003,311250 
03/04/2003,317625 
04/04/2003,312125 
05/04/2003,312125 
06/04/2003,312125 
07/04/2003,319750 
08/04/2003,313375 
09/04/2003,309750 
10/04/2003,304750 
11/04/2003,307750 
12/04/2003,307750 
13/04/2003,307750 
14/04/2003,295250 
15/04/2003,302125 
16/04/2003,304750 
17/04/2003,315250 
18/04/2003,315250 
19/04/2003,315250 
20/04/2003,315250 
21/04/2003,320625 
22/04/2003,321500 
23/04/2003,320875 
24/04/2003,315750 
25/04/2003,313625 
26/04/2003,313625 
27/04/2003,313625 
28/04/2003,307375 
29/04/2003,320750 
30/04/2003,330000 
01/05/2003,334000 
02/05/2003,324250 
03/05/2003,324250 
04/05/2003,324250 
05/05/2003,326875 
06/05/2003,332500 
07/05/2003,327250 
08/05/2003,326250 
09/05/2003,319250 
10/05/2003,319250 
11/05/2003,319250 
12/05/2003,318625 
13/05/2003,312875 
14/05/2003,305875 
15/05/2003,305000 
16/05/2003,306125 
17/05/2003,306125 
18/05/2003,306125 
19/05/2003,312250 
20/05/2003,330750 
21/05/2003,322375 
22/05/2003,322375 
23/05/2003,314625 
24/05/2003,314625 
25/05/2003,314625 
26/05/2003,313625 
27/05/2003,288000 
28/05/2003,308875 
29/05/2003,291250 
30/05/2003,284625 
31/05/2003,284625 
01/06/2003,284625 
02/06/2003,291875 
03/06/2003,290250 
04/06/2003,291125 
05/06/2003,286375 
06/06/2003,290000 
07/06/2003,290000 
08/06/2003,290000 
09/06/2003,287125 
10/06/2003,292875 
11/06/2003,298125 
12/06/2003,296375 
13/06/2003,289000 
14/06/2003,289000 
15/06/2003,289000 
16/06/2003,285750 
17/06/2003,285375 
18/06/2003,289625 
19/06/2003,277625 
20/06/2003,280875 
21/06/2003,280875 
22/06/2003,280875 
23/06/2003,282250 
24/06/2003,286375 
25/06/2003,279500 
26/06/2003,288125 
27/06/2003,310125 
28/06/2003,310125 
29/06/2003,310125 
30/06/2003,311625 
01/07/2003,311875 
02/07/2003,325875 
03/07/2003,322625 
04/07/2003,323000 
05/07/2003,323000 
06/07/2003,323000 
07/07/2003,320250 
08/07/2003,319000 
09/07/2003,316000 
10/07/2003,315125 
11/07/2003,315375 
12/07/2003,315375 
13/07/2003,315375 
14/07/2003,327125 
15/07/2003,329500 
16/07/2003,334250 
17/07/2003,337500 
18/07/2003,339625 
19/07/2003,339625 
20/07/2003,339625 
21/07/2003,314500 
22/07/2003,308500 
23/07/2003,306250 
24/07/2003,300875 
25/07/2003,311000 
26/07/2003,311000 
27/07/2003,311000 
28/07/2003,299750 
29/07/2003,316250 
30/07/2003,311125 
31/07/2003,316625 
01/08/2003,326375 
02/08/2003,326375 
03/08/2003,326375 
04/08/2003,320500 
05/08/2003,311750 
06/08/2003,313750 
07/08/2003,314125 
08/08/2003,312750 
09/08/2003,312750 
10/08/2003,312750 
11/08/2003,299250 
12/08/2003,295625 
13/08/2003,301500 
14/08/2003,293875 
15/08/2003,291875 
16/08/2003,291875 
17/08/2003,291875 
18/08/2003,287750 
19/08/2003,288500 
20/08/2003,288500 
21/08/2003,298250 
22/08/2003,292000 
23/08/2003,292000 
24/08/2003,292000 
25/08/2003,293750 
26/08/2003,292625 
27/08/2003,289625 
28/08/2003,290375 
29/08/2003,291250 
30/08/2003,291250 
31/08/2003,291250 
01/09/2003,290750 
02/09/2003,292875 
03/09/2003,289000 
04/09/2003,296750 
05/09/2003,308500 
06/09/2003,308500 
07/09/2003,308500 
08/09/2003,321625 
09/09/2003,329500 
10/09/2003,331750 
11/09/2003,333250 
12/09/2003,329750 
13/09/2003,329750 
14/09/2003,329750 
15/09/2003,302500 
16/09/2003,288750 
17/09/2003,300875 
18/09/2003,296375 
19/09/2003,298000 
20/09/2003,298000 
21/09/2003,298000 
22/09/2003,311000 
23/09/2003,308500 
24/09/2003,313625 
25/09/2003,313500 
26/09/2003,306375 
27/09/2003,306375 
28/09/2003,306375 
29/09/2003,306625 
30/09/2003,303875 
01/10/2003,319750 
02/10/2003,304375 
03/10/2003,305625 
04/10/2003,305625 
05/10/2003,305625 
06/10/2003,294000 
07/10/2003,295250 
08/10/2003,293250 
09/10/2003,288500 
10/10/2003,282625 
11/10/2003,282625 
12/10/2003,282625 
13/10/2003,278250 
14/10/2003,283250 
15/10/2003,282125 
16/10/2003,287375 
17/10/2003,281875 
18/10/2003,281875 
19/10/2003,281875 
20/10/2003,288750 
21/10/2003,301000 
22/10/2003,300500 
23/10/2003,304500 
24/10/2003,312000 
25/10/2003,312000 
26/10/2003,312000 
27/10/2003,320000 
28/10/2003,319875 
29/10/2003,301000 
30/10/2003,290875 
31/10/2003,284125 
01/11/2003,284125 
02/11/2003,284125 
03/11/2003,284375 
04/11/2003,288875 
05/11/2003,287500 
06/11/2003,289000 
07/11/2003,294125 
08/11/2003,294125 
09/11/2003,294125 
10/11/2003,286000 
11/11/2003,289250 
12/11/2003,305625 
13/11/2003,310750 
14/11/2003,311500 
15/11/2003,311500 
16/11/2003,311500 
17/11/2003,310750 
18/11/2003,310875 
19/11/2003,304125 
20/11/2003,299625 
21/11/2003,293375 
22/11/2003,293375 
23/11/2003,293375 
24/11/2003,297000 
25/11/2003,299500 
26/11/2003,305500 
27/11/2003,305500 
28/11/2003,305500 
29/11/2003,305500 
30/11/2003,305500 
01/12/2003,314250 
02/12/2003,323375 
03/12/2003,315250 
04/12/2003,301250 
05/12/2003,305375 
06/12/2003,305375 
07/12/2003,305375 
08/12/2003,316875 
09/12/2003,315375 
10/12/2003,310875 
11/12/2003,305875 
12/12/2003,310625 
13/12/2003,310625 
14/12/2003,310625 
15/12/2003,290625 
16/12/2003,292500 
17/12/2003,296250 
18/12/2003,295875 
19/12/2003,303250 
20/12/2003,303250 
21/12/2003,303250 
22/12/2003,303375 
23/12/2003,303000 
24/12/2003,300250 
25/12/2003,300250 
26/12/2003,300250 
27/12/2003,300250 
28/12/2003,300250 
29/12/2003,300875 
30/12/2003,304875 
31/12/2003,291250 
01/01/2004,291250 
02/01/2004,291250 
03/01/2004,291250 
04/01/2004,291250 
05/01/2004,322875 
06/01/2004,342000 
07/01/2004,335875 
08/01/2004,328875 
09/01/2004,330750 
10/01/2004,330750 
11/01/2004,330750 
12/01/2004,336875 
13/01/2004,332625 
14/01/2004,325750 
15/01/2004,323875 
16/01/2004,333375 
17/01/2004,333375 
18/01/2004,333375 
19/01/2004,333375 
20/01/2004,351250 
21/01/2004,347000 
22/01/2004,350625 
23/01/2004,352250 
24/01/2004,352250 
25/01/2004,352250 
26/01/2004,363375 
27/01/2004,368125 
28/01/2004,353000 
29/01/2004,347250 
30/01/2004,344625 
31/01/2004,344625 
01/02/2004,344625 
02/02/2004,344625 
03/02/2004,342125 
04/02/2004,329375 
05/02/2004,329875 
06/02/2004,327125 
07/02/2004,327125 
08/02/2004,327125 
09/02/2004,323250 
10/02/2004,337125 
11/02/2004,341250 
12/02/2004,346125 
13/02/2004,343375 
14/02/2004,343375 
15/02/2004,343375 
16/02/2004,343375 
17/02/2004,349625 
18/02/2004,323625 
19/02/2004,325875 
20/02/2004,320875 
21/02/2004,320875 
22/02/2004,320875 
23/02/2004,314375 
24/02/2004,329750 
25/02/2004,328250 
26/02/2004,343250 
27/02/2004,346750 
28/02/2004,346750 
29/02/2004,346750 
01/03/2004,342250 
02/03/2004,339250 
03/03/2004,329250 
04/03/2004,336250 
05/03/2004,336625 
06/03/2004,336625 
07/03/2004,336625 
08/03/2004,340000 
09/03/2004,333875 
10/03/2004,337500 
11/03/2004,346375 
12/03/2004,345375 
13/03/2004,345375 
14/03/2004,345375 
15/03/2004,348375 
16/03/2004,349125 
17/03/2004,347750 
18/03/2004,347625 
19/03/2004,352125 
20/03/2004,352125 
21/03/2004,352125 
22/03/2004,355625 
23/03/2004,355000 
24/03/2004,350625 
25/03/2004,330375 
26/03/2004,334875 
27/03/2004,334875 
28/03/2004,334875 
29/03/2004,338250 
30/03/2004,343625 
31/03/2004,344625 
01/04/2004,346875 
02/04/2004,342750 
03/04/2004,342750 
04/04/2004,342750 
05/04/2004,336500 
06/04/2004,340375 
07/04/2004,343750 
08/04/2004,341750 
09/04/2004,341750 
10/04/2004,341750 
11/04/2004,341750 
12/04/2004,336375 
13/04/2004,320375 
14/04/2004,323750 
15/04/2004,324500 
16/04/2004,318375 
17/04/2004,318375 
18/04/2004,318375 
19/04/2004,322625 
